Full Name,department,12th Mark,10th Mark,Current CGPA,Backlogs,Company Placed,Skills Known,Projects Done,Certifications/Internships
Jatin Verma,cse,80.6,79.5,6.3,0,Tech Mahindra, JavaScript,"Inventory Management System, UI/UX Redesign",Hexaware Technologies Internship
Kavita Sharma,it,74.2,86.2,7.1,0,KPIT Technologies, Java,"Customer Data Analysis, Database Optimization Tool",Mindfire Solutions Internship
Alok Yadav,ece,80.7,81.3,6.8,0,Wipro Technologies, JavaScript,"Location-Based Services App, UI Redesign for Mobile App","Cognizant Internship,  Data Science Certification"
Meenakshi Singh,eee,85,88.5,7.6,0,Cognizant, SQL,"Software Testing Framework, Cloud Migration Project",Techjini Internship
Rishabh Kapoor,cse,81,80.2,6.5,0,Tech Mahindra, PHP,"E-commerce Website Development, Data Analysis Tool","Mphasis Internship,  CompTIA Cloud+"
Aparna Verma,cse,87.2,86.3,7.2,0,KPIT Technologies, JavaScript,"Finance Management App, UI Redesign for Web App","Quinnox Internship,  PHP Certification"
Arjun Saini,it,77.5,79,6.2,3,Tech Mahindra, Java,"Automotive Diagnostics Software, Embedded System for Vehicles",Birlasoft Internship
Ritu Singh,ece,73.2,87,7,0,Wipro Technologies, Ruby,"Content Management System, Mobile Task Management App",KPIT Technologies Internship
Sameer Gupta,eee,92.5,81.7,6.6,0,Tech Mahindra, JavaScript,"Bug Tracking System, Database Optimization Tool",Sonata Software Internship
Nisha Yadav,it,96.1,87.6,7.5,0,Cognizant, SQL,"Sales Forecasting System, Cloud Migration Project",Syntel Internship
Deepak Verma,it,82,79.4,6.3,0,Tech Mahindra,Css,"Website Redesign, UI/UX Redesign for Web App",Coforge Internship
Ram,ece,94.6,84.5,6.7,0,Wipro Technologies, Java,"Inventory Management System, Database Optimization Tool",CSS Corp Internship
Shahul,it,71,90.3,4,1,css corp, Python,"E-commerce Website Development, Student Database Management",L&T Infotech Internship
Charan,cse,86,85.6,7.4,0,Cognizant, SQL,"Inventory Management System, Network Security Tool","Infosys Internship,  Java Certification"
yamini,cse,76.5,82.7,6.7,0,Wipro Technologies, JavaScript,"Food Delivery App, Travel Experience App","Wipro Internship,  CompTIA Security+"
suresh,eee,82.5,88,7.3,0,KPIT Technologies, PHP,"Sales Forecasting System, Cloud Migration Project",Tech Mahindra Internship
ltiman,cse,93,86.5,6.3,0,Tech Mahindra, Java,"Online Voting System, DevOps Implementation",HCL Technologies Internship
manu,it,93,80.5,7.1,0,KPIT Technologies, Python,"Sentiment Analysis Model, E-commerce Platform",L&T Infotech Internship
saanu,ece,74,89.2,6.8,0,Wipro Technologies, JavaScript,"Bug Tracking System, UI Redesign for an App","Mphasis Internship, Machine Learning Certification"
sharan,eee,72.5,81.8,7.6,0,Cognizant, SQL,"CRM Software, Inventory Management System",Mindtree Internship
abi,cse,91.6,87.3,6.5,0,Tech Mahindra, Python,"Cloud Migration Project, Data Analysis Tool",Persistent Systems Internship
keerthi,it,80.2,84.2,7.2,0,KPIT Technologies, Ruby,"E-commerce Platform, Mobile Task Management App",L&T Technology Services Internship
jothi,ece,93,87.7,6.2,2,Tech Mahindra, JavaScript,"Inventory Management System, UI/UX Redesign",Hexaware Technologies Internship
mayuri,eee,81.5,79.5,7,0,Wipro Technologies, Java,"Customer Data Analysis, Database Optimization Tool",Mindfire Solutions Internship
mohini,cse,83.7,86.2,6.6,0,Tech Mahindra, JavaScript,"Location-Based Services App, UI Redesign for Mobile App","Cognizant Internship,  Data Science Certification"
karthik,it,76,81.3,9.1,0,Hexaware Technologies, SQL,"Software Testing Framework, Cloud Migration Project",Techjini Internship
yuvaraj,ece,87,85.6,8,0,Infosys, PHP,"E-commerce Website Development, Data Analysis Tool","Mphasis Internship,  CompTIA Cloud+"
yuva,eee,85,82.7,7,0,Wipro Technologies, JavaScript,"Finance Management App, UI Redesign for Web App","Quinnox Internship,  PHP Certification"
ranjitha,cse,80,88,8,0,Infosys,Css,"Automotive Diagnostics Software, Embedded System for Vehicles",Birlasoft Internship
rani,it,84.2,86.5,9.4,0,Hexaware Technologies, Ruby,"Content Management System, Mobile Task Management App",KPIT Technologies Internship
hema,ece,81.5,80.5,7.5,0,Cognizant, JavaScript,"Bug Tracking System, Database Optimization Tool",Sonata Software Internship
hemaraj,eee,74.2,89.2,9.4,0,Hexaware Technologies, SQL,"Sales Forecasting System, Cloud Migration Project",Syntel Internship
parvathi,cse,81.6,90,8.6,0,Birlasoft, JavaScript,"Website Redesign, UI/UX Redesign for Web App",Coforge Internship
aarthi,it,92.5,87.3,6,1,css corp, Java,"Inventory Management System, Database Optimization Tool",CSS Corp Internship
Aparna Verma,ece,80.5,84.2,5,1,css corp, Python,"E-commerce Website Development, Student Database Management",L&T Infotech Internship
Arjun Saini,eee,75.2,87.7,9.6,0,L&T Infotech, SQL,"Inventory Management System, Network Security Tool","Infosys Internship,  Java Certification"
Ritu Singh,it,80.3,79.5,7.2,0,KPIT Technologies, JavaScript,"Food Delivery App, Travel Experience App",
Sameer Gupta,cse,80.4,86.2,6.8,0,Wipro Technologies, PHP,"Sales Forecasting System, Cloud Migration Project","Wipro Internship,  CompTIA Security+"
Nisha Yadav,it,93.5,81.3,7.5,0,Cognizant, Java,"Online Voting System, DevOps Implementation",Tech Mahindra Internship
Deepak Verma,ece,82.5,88.5,7.1,0,KPIT Technologies, Python,"Sentiment Analysis Model, E-commerce Platform",HCL Technologies Internship
Kirti Kapoor,it,80.2,80.2,6.5,0,Tech Mahindra, JavaScript,"Bug Tracking System, UI Redesign for an App",L&T Infotech Internship
Ram,ece,75.2,86.3,7.8,0,Infosys, SQL,"CRM Software, Inventory Management System","Mphasis Internship, Machine Learning Certification"
Shahul,eee,88,79,6.9,0,Wipro Technologies, Python,"Cloud Migration Project, Data Analysis Tool",Mindtree Internship
Charan,cse,85.2,87,7.4,0,Cognizant, Ruby,"E-commerce Platform, Mobile Task Management App",Persistent Systems Internship
yamini,cse,82,81.7,6.7,0,Wipro Technologies, JavaScript,"Inventory Management System, UI/UX Redesign",L&T Technology Services Internship
suresh,it,87.4,87.6,7.3,0,KPIT Technologies, Java,"Customer Data Analysis, Database Optimization Tool",Hexaware Technologies Internship
rituram,ece,80.5,79.4,6.3,0,Tech Mahindra, JavaScript,"Location-Based Services App, UI Redesign for Mobile App",Mindfire Solutions Internship
Ram,eee,78.2,84.5,7.1,0,KPIT Technologies,Css,"Software Testing Framework, Cloud Migration Project","Cognizant Internship,  Data Science Certification"
Kiran,it,83.2,90.3,6.8,0,Wipro Technologies, PHP,"E-commerce Website Development, Data Analysis Tool",Techjini Internship
Meenakshi,it,84.5,85.6,7.6,0,Cognizant, JavaScript,"Finance Management App, UI Redesign for Web App","Mphasis Internship,  CompTIA Cloud+"
Meera,ece,80.5,82.7,6.5,0,Tech Mahindra, Java,"Automotive Diagnostics Software, Embedded System for Vehicles","Quinnox Internship,  PHP Certification"
Rahul,it,7.4,88,7.2,0,KPIT Technologies, Ruby,"Content Management System, Mobile Task Management App",Birlasoft Internship
Chandran,cse,80.1,86.5,6.2,3,Tech Mahindra, JavaScript,"Bug Tracking System, Database Optimization Tool",KPIT Technologies Internship
raiu,cse,7.6,80.5,7,0,Wipro Technologies, SQL,"Sales Forecasting System, Cloud Migration Project",Sonata Software Internship
raja,it,89.9,89.2,6.6,0,Tech Mahindra, JavaScript,"Website Redesign, UI/UX Redesign for Web App",Syntel Internship
maran,ece,77.5,81.8,7.5,0,Cognizant, Java,"Inventory Management System, Database Optimization Tool",Coforge Internship
Krishna,eee,81,87.3,6.3,0,Tech Mahindra, Python,"E-commerce Website Development, Student Database Management",CSS Corp Internship
Singh,cse,77.2,84.2,6.7,0,Wipro Technologies, SQL,"Inventory Management System, Network Security Tool",L&T Infotech Internship
Kohal,cse,92.3,87.7,4,1,css corp, JavaScript,"Inventory Management System, Network Security Tool","Infosys Internship,  Java Certification"
Ramkiran,it,73.5,79.5,7.4,0,Cognizant, PHP,"E-commerce Website Development, Student Database Management","Infosys Internship,  Java Certification"
Chandra,ece,81.5,86.2,6.8,0,Wipro Technologies, Java,"Inventory Management System, Network Security Tool",
sekar,eee,97.4,81.3,7.5,0,Cognizant, Python,"Food Delivery App, Travel Experience App","Wipro Internship,  CompTIA Security+"
manoj,ece,82,85.6,7.1,0,KPIT Technologies,Css,"Sales Forecasting System, Cloud Migration Project",Tech Mahindra Internship
remuyuka,eee,75,82.7,6.5,0,Tech Mahindra, SQL,"Online Voting System, DevOps Implementation",HCL Technologies Internship
reshu,cse,80.1,88,7.8,0,Infosys, Python,"Sentiment Analysis Model, E-commerce Platform",L&T Infotech Internship
kala,it,78.5,86.5,6.9,0,Wipro Technologies, Ruby,"Bug Tracking System, UI Redesign for an App","Mphasis Internship, Machine Learning Certification"
hariharan,cse,81.5,80.5,7.4,0,Cognizant, JavaScript,"CRM Software, Inventory Management System",Mindtree Internship
harish,it,76,89.2,6.7,0,Wipro Technologies, Java,"Cloud Migration Project, Data Analysis Tool",Persistent Systems Internship
ranjith,ece,80.9,81.8,7.3,0,KPIT Technologies, JavaScript,"E-commerce Platform, Mobile Task Management App",L&T Technology Services Internship
Sam,eee,76.8,87.3,6.3,0,Tech Mahindra, SQL,"Inventory Management System, UI/UX Redesign",Hexaware Technologies Internship
samuel,cse,91,84.2,7.1,0,KPIT Technologies, PHP,"Customer Data Analysis, Database Optimization Tool",Mindfire Solutions Internship
Edwin,it,77,87.7,6.8,0,Wipro Technologies, JavaScript,"Location-Based Services App, UI Redesign for Mobile App","Cognizant Internship,  Data Science Certification"
adhi,cse,92.5,79.5,7.6,0,Cognizant, Java,"Software Testing Framework, Cloud Migration Project",Techjini Internship
lakshmi,it,97.2,86.2,6.5,0,Tech Mahindra, Ruby,"E-commerce Website Development, Data Analysis Tool","Mphasis Internship,  CompTIA Cloud+"
asvitha,ece,94.5,81.3,7.2,0,KPIT Technologies, JavaScript,"Finance Management App, UI Redesign for Web App","Quinnox Internship,  PHP Certification"
semel,eee,83,88.5,6.2,0,Tech Mahindra, SQL,"Automotive Diagnostics Software, Embedded System for Vehicles",Birlasoft Internship
yogi,cse,92,80.2,7,0,Wipro Technologies, JavaScript,"Content Management System, Mobile Task Management App",KPIT Technologies Internship
babu chandra,cse,82,86.3,6.6,0,Tech Mahindra, Java,"Bug Tracking System, Database Optimization Tool",Sonata Software Internship
sekar chandran,it,92.3,79,7.5,0,Cognizant, Python,"Sales Forecasting System, Cloud Migration Project",Syntel Internship
renu,ece,73.5,87,6.3,0,Tech Mahindra, SQL,"Website Redesign, UI/UX Redesign for Web App",Coforge Internship
niru,eee,81.5,81.7,6.7,0,Wipro Technologies, JavaScript,"Inventory Management System, Database Optimization Tool",CSS Corp Internship
sakthi,it,87.4,87.6,4,1,css corp, PHP,"E-commerce Website Development, Student Database Management",L&T Infotech Internship
abirami,it,82,79.4,7.4,0,Cognizant, Java,"Inventory Management System, Network Security Tool","Infosys Internship,  Java Certification"
mufa,ece,75,84.5,8,0,Infosys,Css,"Food Delivery App, Travel Experience App","Wipro Internship,  CompTIA Security+"
gopika,it,80.1,95,9,0,Birlasoft, JavaScript,"Sales Forecasting System, Cloud Migration Project","Infosys Internship,  Java Certification"
gopi,cse,84.5,85.6,7.4,1,css corp, SQL,"Online Voting System, DevOps Implementation",
hariharan,cse,81.5,85.6,6.7,0,KPIT Technologies, Python,"Sentiment Analysis Model, E-commerce Platform","Wipro Internship,  CompTIA Security+"
harish,eee,76,82.7,7.3,0,Wipro Technologies, Ruby,"Bug Tracking System, UI Redesign for an App",Tech Mahindra Internship
ranjith,cse,80.9,88,6.3,0,Cognizant, JavaScript,"CRM Software, Inventory Management System",HCL Technologies Internship
Sam,it,76.8,86.5,7.1,0,KPIT Technologies, Java,"Cloud Migration Project, Data Analysis Tool",L&T Infotech Internship
samuel,cse,91,80.5,6.8,0,Tech Mahindra, JavaScript,"E-commerce Platform, Mobile Task Management App","Mphasis Internship, Machine Learning Certification"
Edwin,it,77,89.2,7.6,0,Infosys, SQL,"Inventory Management System, UI/UX Redesign",Mindtree Internship
adhi,ece,92.5,81.8,6.5,0,Wipro Technologies, PHP,"Customer Data Analysis, Database Optimization Tool",Persistent Systems Internship
lakshmi,eee,87.2,87.3,7.2,0,Cognizant, JavaScript,"Location-Based Services App, UI Redesign for Mobile App",L&T Technology Services Internship
asvitha,cse,90.5,84.2,6.2,0,Wipro Technologies, Java,"Software Testing Framework, Cloud Migration Project",Hexaware Technologies Internship
Meenakshi Singh,it,83,87.7,7,0,KPIT Technologies, Ruby,"E-commerce Website Development, Student Database Management",Mindfire Solutions Internship
Rishabh Kapoor,ece,92,79.5,6.6,0,Tech Mahindra, JavaScript,"Inventory Management System, Network Security Tool","Cognizant Internship,  Data Science Certification"
Aparna Verma,eee,82,86.2,7.5,0,KPIT Technologies, SQL,"Food Delivery App, Travel Experience App",Techjini Internship
Arjun Saini,cse,83.2,81.3,6.3,0,Wipro Technologies, JavaScript,"Sales Forecasting System, Cloud Migration Project","Mphasis Internship,  CompTIA Cloud+"
Ritu Singh,it,779,88.5,6.7,0,Cognizant, Java,"Online Voting System, DevOps Implementation","Quinnox Internship,  PHP Certification"
Sameer Gupta,ece,96.3,80.2,4,0,Tech Mahindra, Python,"Sentiment Analysis Model, E-commerce Platform",Birlasoft Internship
Nisha Yadav,eee,70.4,86.3,7.4,0,KPIT Technologies, SQL,"Bug Tracking System, UI Redesign for an App",KPIT Technologies Internship
Deepak Verma,cse,89,79,6.7,0,Tech Mahindra, Python,"CRM Software, Inventory Management System",Sonata Software Internship
Kirti Kapoor,it,73.6,87,7.3,0,Wipro Technologies, SQL,"Cloud Migration Project, Data Analysis Tool",Syntel Internship
Ram,ece,95.6,81.7,6.3,0,Tech Mahindra, JavaScript,"E-commerce Platform, Mobile Task Management App",Coforge Internship
Shahul,eee,73.5,87.6,7.1,0,Cognizant, PHP,"Inventory Management System, UI/UX Redesign",CSS Corp Internship
Charan,cse,89.5,79.4,6.8,0,Tech Mahindra,Css,"Customer Data Analysis, Database Optimization Tool",L&T Infotech Internship
yamini,it,86.5,84.5,7.6,0,Wipro Technologies, Python,"Location-Based Services App, UI Redesign for Mobile App","Infosys Internship,  Java Certification"
suresh,ece,80.6,90.3,6.5,1,css corp, JavaScript,"Software Testing Framework, Cloud Migration Project","Wipro Internship,  CompTIA Security+"
ltiman,eee,74.2,85.6,7.2,0,Cognizant, SQL,"E-commerce Website Development, Data Analysis Tool",Tech Mahindra Internship
manu,cse,80.7,82.7,6.2,0,Wipro Technologies, Python,"Finance Management App, UI Redesign for Web App",HCL Technologies Internship
saanu,it,85,88,7,0,KPIT Technologies, Ruby,"Automotive Diagnostics Software, Embedded System for Vehicles",L&T Infotech Internship
sharan,ece,81,86.5,6.6,0,Tech Mahindra, JavaScript,"Content Management System, Mobile Task Management App","Mphasis Internship, Machine Learning Certification"
abi,eee,87.2,80.5,9.1,0,KPIT Technologies, Java,"Bug Tracking System, Database Optimization Tool",Mindtree Internship
keerthi,cse,77.5,89.2,8,0,Wipro Technologies, JavaScript,"Sales Forecasting System, Cloud Migration Project",Persistent Systems Internship
jothi,it,73.2,81.8,7,0,Cognizant, SQL,"Website Redesign, UI/UX Redesign for Web App",L&T Technology Services Internship
mayuri,ece,92.5,87.3,8,0,Tech Mahindra, PHP,"Inventory Management System, Database Optimization Tool",Hexaware Technologies Internship
mohini,eee,96.1,84.2,9.4,0,KPIT Technologies, JavaScript,"E-commerce Website Development, Student Database Management",Mindfire Solutions Internship
karthik,cse,82,87.7,7.5,0,Tech Mahindra, Java,"Inventory Management System, Network Security Tool","Cognizant Internship,  Data Science Certification"
yuvaraj,it,94.6,79.5,9.4,0,Wipro Technologies, Ruby,"Food Delivery App, Travel Experience App",Techjini Internship
yuva,ece,71,86.2,8.6,0,Tech Mahindra, JavaScript,"Sales Forecasting System, Cloud Migration Project","Mphasis Internship,  CompTIA Cloud+"
ranjitha,eee,86,81.3,6,0,Hexaware Technologies, SQL,"Online Voting System, DevOps Implementation","Quinnox Internship,  PHP Certification"
rani,cse,76.5,85.6,5,0,Infosys, JavaScript,"Sentiment Analysis Model, E-commerce Platform",Birlasoft Internship
hema,it,82.5,85.6,9.6,0,Wipro Technologies, Java,"Bug Tracking System, UI Redesign for an App",KPIT Technologies Internship
hemaraj,ece,93,82.7,7.2,0,Infosys, Python,"CRM Software, Inventory Management System",Sonata Software Internship
parvathi,eee,93,88,6.8,0,Hexaware Technologies, SQL,"Cloud Migration Project, Data Analysis Tool",Syntel Internship
aarthi,cse,74,86.5,7.5,0,Cognizant, Python,"E-commerce Platform, Mobile Task Management App",Coforge Internship
aarthka,it,72.5,80.5,7.1,0,Hexaware Technologies, SQL,"Inventory Management System, UI/UX Redesign",CSS Corp Internship
maalavi,ece,91.6,89.2,6.5,0,Birlasoft, JavaScript,"Customer Data Analysis, Database Optimization Tool",L&T Infotech Internship
Rahul Sharma,eee,80.2,81.8,7.8,1,css corp,Css,"Location-Based Services App, UI Redesign for Mobile App","Infosys Internship,  Java Certification"
Priya Patel,cse,93,87.3,6.9,1,css corp, Java,"Software Testing Framework, Cloud Migration Project",
Karan Mehta,it,81.5,84.2,7.4,0,L&T Infotech, Python,"E-commerce Website Development, Data Analysis Tool","Wipro Internship,  CompTIA Security+"
Pooja Gupta,ece,83.7,87.7,6.7,0,KPIT Technologies, JavaScript,"Finance Management App, UI Redesign for Web App",Tech Mahindra Internship
Ankit Verma,eee,76,79.5,7.3,0,Wipro Technologies, SQL,"Automotive Diagnostics Software, Embedded System for Vehicles",HCL Technologies Internship
Sneha Singh,cse,87,86.2,6.3,0,Cognizant, Python,"Content Management System, Mobile Task Management App",L&T Infotech Internship
Rohit Saini,it,85,81.3,7.1,0,KPIT Technologies, Ruby,"Bug Tracking System, Database Optimization Tool","Mphasis Internship, Machine Learning Certification"
Simran Yadav,ece,80,88.5,6.8,0,Tech Mahindra, JavaScript,"Sales Forecasting System, Cloud Migration Project",Mindtree Internship
Abhishek Gupta,eee,84.2,80.2,7.6,0,Infosys, Java,"Website Redesign, UI/UX Redesign for Web App",Persistent Systems Internship
Priyanka Kapoor,cse,81.5,86.3,6.5,0,Wipro Technologies, JavaScript,"Inventory Management System, Database Optimization Tool",L&T Technology Services Internship
Jatin Verma,it,74.2,79,7.2,0,Cognizant, SQL,"E-commerce Website Development, Student Database Management",Hexaware Technologies Internship
Kavita Sharma,ece,81.6,87,7.2,0,Wipro Technologies, PHP,"Inventory Management System, Network Security Tool",Mindfire Solutions Internship
Alok Yadav,eee,92.5,81.7,6.8,0,KPIT Technologies, JavaScript,"Food Delivery App, Travel Experience App","Cognizant Internship,  Data Science Certification"
Meenakshi Singh,cse,80.5,87.6,7.5,0,Tech Mahindra, Java,"Sales Forecasting System, Cloud Migration Project",Techjini Internship
Rishabh Kapoor,it,75.2,79.4,7.1,0,KPIT Technologies, Ruby,"Online Voting System, DevOps Implementation","Mphasis Internship,  CompTIA Cloud+"
Aparna Verma,ece,80.3,84.5,6.5,0,Wipro Technologies, JavaScript,"Sentiment Analysis Model, E-commerce Platform","Quinnox Internship,  PHP Certification"
Arjun Saini,eee,80.4,90.3,7.8,0,Cognizant, SQL,"Bug Tracking System, UI Redesign for an App",Birlasoft Internship
Ritu Singh,cse,93.5,85.6,6.9,0,Tech Mahindra, JavaScript,"CRM Software, Inventory Management System",KPIT Technologies Internship
Sameer Gupta,it,82.5,82.7,7.4,0,KPIT Technologies, Java,"Cloud Migration Project, Data Analysis Tool",Sonata Software Internship
Nisha Yadav,ece,80.2,88,6.7,0,KPIT Technologies, Python,"E-commerce Platform, Mobile Task Management App",Syntel Internship
Deepak Verma,eee,75.2,86.5,7.3,0,Wipro Technologies, SQL,"Inventory Management System, UI/UX Redesign",Coforge Internship
Ram,cse,88,80.5,6.3,0,Cognizant,Css,"Customer Data Analysis, Database Optimization Tool",CSS Corp Internship
Shahul,it,85.2,89.2,7.1,0,KPIT Technologies, SQL,"Location-Based Services App, UI Redesign for Mobile App",L&T Infotech Internship
Deepak Verma,ece,82,81.8,6.8,0,Tech Mahindra, JavaScript,"Software Testing Framework, Cloud Migration Project","Infosys Internship,  Java Certification"
Kirti Kapoor,eee,87.4,87.3,7.6,0,Infosys, PHP,"E-commerce Website Development, Data Analysis Tool","Infosys Internship,  Java Certification"
Ram,cse,80.5,84.2,6.5,0,Wipro Technologies, Java,"Finance Management App, UI Redesign for Web App",
Shahul,it,78.2,87.7,7.2,0,Cognizant, Python,"Automotive Diagnostics Software, Embedded System for Vehicles","Wipro Internship,  CompTIA Security+"
Charan,ece,83.2,79.5,6.2,0,Wipro Technologies, JavaScript,"Content Management System, Mobile Task Management App",Tech Mahindra Internship
yamini,eee,84.5,86.2,7,0,KPIT Technologies, SQL,"Bug Tracking System, Database Optimization Tool",HCL Technologies Internship
suresh,cse,80.5,81.3,6.6,0,Tech Mahindra, Python,"Sales Forecasting System, Cloud Migration Project",L&T Infotech Internship
ltiman,it,7.4,85.6,7.5,0,KPIT Technologies, Ruby,"Website Redesign, UI/UX Redesign for Web App","Mphasis Internship, Machine Learning Certification"
manu,ece,80.1,82.7,6.3,0,Wipro Technologies, JavaScript,"Inventory Management System, Database Optimization Tool",Mindtree Internship
saanu,eee,7.6,88,6.7,0,Cognizant, Java,"E-commerce Website Development, Student Database Management",Persistent Systems Internship
sharan,cse,89.9,86.5,4,0,Tech Mahindra, JavaScript,"Inventory Management System, Network Security Tool",L&T Technology Services Internship
abi,it,77.5,80.5,7.4,0,KPIT Technologies, SQL,"Inventory Management System, Network Security Tool",Hexaware Technologies Internship
keerthi,ece,81,89.2,6.7,2,Tech Mahindra, PHP,"E-commerce Website Development, Student Database Management",Mindfire Solutions Internship
jothi,eee,77.2,90,7.3,0,Wipro Technologies, JavaScript,"Inventory Management System, Network Security Tool","Cognizant Internship,  Data Science Certification"
mayuri,cse,92.3,87.3,6.3,0,Tech Mahindra, Java,"Food Delivery App, Travel Experience App",Techjini Internship
mohini,it,73.5,84.2,7.1,0,Cognizant, Ruby,"Sales Forecasting System, Cloud Migration Project","Mphasis Internship,  CompTIA Cloud+"
karthik,ece,81.5,87.7,6.8,0,Tech Mahindra, JavaScript,"Online Voting System, DevOps Implementation","Quinnox Internship,  PHP Certification"
yuvaraj,eee,97.4,79.5,7.6,0,Wipro Technologies, SQL,"Sentiment Analysis Model, E-commerce Platform",Birlasoft Internship
yuva,cse,82,86.2,6.5,1,css corp,Html,"Bug Tracking System, UI Redesign for an App",KPIT Technologies Internship
ranjitha,it,75,81.3,7.2,0,Cognizant, Java,"CRM Software, Inventory Management System",Sonata Software Internship
rani,ece,80.1,88.5,6.2,0,Wipro Technologies, Python,"Cloud Migration Project, Data Analysis Tool",Syntel Internship
hema,eee,78.5,80.2,7,0,KPIT Technologies, SQL,"E-commerce Platform, Mobile Task Management App",Coforge Internship
hemaraj,cse,81.5,86.3,6.6,0,Tech Mahindra, Python,"Inventory Management System, UI/UX Redesign",CSS Corp Internship
parvathi,it,76,79,9.1,0,KPIT Technologies, SQL,"Customer Data Analysis, Database Optimization Tool",L&T Infotech Internship
aarthi,ece,80.9,87,8,0,Wipro Technologies, JavaScript,"Location-Based Services App, UI Redesign for Mobile App","Infosys Internship,  Java Certification"
aarthka,ece,76.8,81.7,7,0,Cognizant, PHP,"Software Testing Framework, Cloud Migration Project","Wipro Internship,  CompTIA Security+"
Abhishek Gupta,eee,91,87.6,8,0,Tech Mahindra, Java,"E-commerce Website Development, Data Analysis Tool",CSS Corp Internship
Priyanka Kapoor,cse,77,79.4,9.4,0,KPIT Technologies, Python,"Finance Management App, UI Redesign for Web App",L&T Infotech Internship
Jatin Verma,it,92.5,84.5,7.5,0,Tech Mahindra, JavaScript,"Automotive Diagnostics Software, Embedded System for Vehicles","Infosys Internship,  Java Certification"
Kavita Sharma,ece,97.2,90.3,7.2,0,Wipro Technologies, SQL,"Content Management System, Mobile Task Management App","Wipro Internship,  CompTIA Security+"
Alok Yadav,eee,94.5,85.6,6.8,0,Tech Mahindra, Python,"Bug Tracking System, Database Optimization Tool",Tech Mahindra Internship
Meenakshi Singh,cse,83,82.7,7.5,0,Hexaware Technologies, Ruby,"Sales Forecasting System, Cloud Migration Project",HCL Technologies Internship
Rishabh Kapoor,it,92,88,7.1,0,Infosys, JavaScript,"Website Redesign, UI/UX Redesign for Web App",L&T Infotech Internship
Aparna Verma,ece,82,86.5,6.5,0,Wipro Technologies, Java,"Inventory Management System, Database Optimization Tool","Mphasis Internship, Machine Learning Certification"
Arjun Saini,eee,92.3,80.5,7.8,0,Infosys, JavaScript,"E-commerce Website Development, Student Database Management",Mindtree Internship
Ritu Singh,cse,73.5,89.2,6.9,0,Hexaware Technologies, SQL,"Inventory Management System, Network Security Tool",Persistent Systems Internship
Sameer Gupta,it,81.5,81.8,7.4,0,Cognizant, PHP,"Food Delivery App, Travel Experience App",L&T Technology Services Internship
Nisha Yadav,ece,87.4,87.3,6.7,0,KPIT Technologies, Python,"E-commerce Website Development, Student Database Management",Hexaware Technologies Internship
Deepak Verma,eee,82,84.2,7.3,0,Wipro Technologies, SQL,"Inventory Management System, Network Security Tool",Mindfire Solutions Internship
Kirti Kapoor,cse,75,87.7,6.3,0,Cognizant, JavaScript,"Food Delivery App, Travel Experience App","Cognizant Internship,  Data Science Certification"
rani,it,80.1,79.5,7.1,0,KPIT Technologies, PHP,"Sales Forecasting System, Cloud Migration Project",Techjini Internship
hema,ece,84.5,86.2,6.8,0,Tech Mahindra, Java,"Online Voting System, DevOps Implementation","Mphasis Internship,  CompTIA Cloud+"
hemaraj,eee,81.5,81.3,7.6,0,Infosys, Python,"Sentiment Analysis Model, E-commerce Platform","Quinnox Internship,  PHP Certification"
parvathi,cse,76,85.6,6.5,0,Wipro Technologies, JavaScript,"Bug Tracking System, UI Redesign for an App",Birlasoft Internship
aarthi,it,80.9,82.7,7.2,0,Cognizant, SQL,"CRM Software, Inventory Management System",KPIT Technologies Internship
aarthka,ece,76.8,88,6.2,0,Wipro Technologies,Html,"Cloud Migration Project, Data Analysis Tool",Sonata Software Internship
maalavi,eee,91,86.5,7,0,KPIT Technologies, Ruby,"E-commerce Platform, Mobile Task Management App",Syntel Internship
Rahul Sharma,cse,77,80.5,6.6,0,Tech Mahindra, JavaScript,"Inventory Management System, UI/UX Redesign",Coforge Internship
Priya Patel,it,92.5,89.2,7.5,0,KPIT Technologies, Java,"Customer Data Analysis, Database Optimization Tool",CSS Corp Internship
Karan Mehta,ece,87.2,81.8,6.3,0,Wipro Technologies, JavaScript,"Location-Based Services App, UI Redesign for Mobile App",L&T Infotech Internship
Pooja Gupta,eee,90.5,87.3,6.7,0,Cognizant, SQL,"Software Testing Framework, Cloud Migration Project","Infosys Internship,  Java Certification"
Ankit Verma,cse,83,84.2,4,0,Tech Mahindra, PHP,"E-commerce Website Development, Data Analysis Tool",
Sneha Singh,it,92,87.7,7.4,0,KPIT Technologies, JavaScript,"Finance Management App, UI Redesign for Web App","Wipro Internship,  CompTIA Security+"
Rohit Saini,ece,82,79.5,6.7,3,Tech Mahindra,bootstrap,"Automotive Diagnostics Software, Embedded System for Vehicles",Tech Mahindra Internship
Simran Yadav,eee,83.2,86.2,7.3,0,Wipro Technologies, Ruby,"Content Management System, Mobile Task Management App",HCL Technologies Internship
Abhishek Gupta,cse,779,81.3,6.3,0,Tech Mahindra, JavaScript,"Bug Tracking System, Database Optimization Tool",L&T Infotech Internship
Priyanka Kapoor,it,96.3,88.5,7.1,0,Cognizant, SQL,"Sales Forecasting System, Cloud Migration Project","Infosys Internship,  Java Certification"
Jatin Verma,ece,70.4,80.2,6.8,0,Tech Mahindra, JavaScript,"Website Redesign, UI/UX Redesign for Web App",
